metric,label,value,n,category_name,run_name,model
guard_abstention_rate,GHOST-Guard Abstention Rate,0.5,10,umbrella,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,umbrella,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
original_yes_rate,Original YES Rate,1.0,10,vase,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
crop_yes_rate,Crop YES Rate,1.0,10,vase,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
masked_yes_rate,Masked YES Rate,0.6,10,vase,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
ghost_object_rate,Ghost Object Rate,0.6,10,vase,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
context_persistence_index,Context Persistence Index,0.6,10,vase,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.4,10,vase,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_abstention_rate,GHOST-Guard Abstention Rate,0.6,10,vase,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,vase,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
original_yes_rate,Original YES Rate,1.0,10,wine glass,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
crop_yes_rate,Crop YES Rate,0.9,10,wine glass,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
masked_yes_rate,Masked YES Rate,1.0,10,wine glass,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
ghost_object_rate,Ghost Object Rate,1.0,10,wine glass,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
context_persistence_index,Context Persistence Index,1.0,10,wine glass,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.0,10,wine glass,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_abstention_rate,GHOST-Guard Abstention Rate,1.0,10,wine glass,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,wine glass,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
original_yes_rate,Original YES Rate,0.6,10,backpack,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
crop_yes_rate,Crop YES Rate,0.8,10,backpack,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
masked_yes_rate,Masked YES Rate,0.2,10,backpack,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
ghost_object_rate,Ghost Object Rate,0.3333333333333333,10,backpack,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
context_persistence_index,Context Persistence Index,0.3333333333333333,10,backpack,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.4,10,backpack,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
guard_abstention_rate,GHOST-Guard Abstention Rate,0.2,10,backpack,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,backpack,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
original_yes_rate,Original YES Rate,0.9,10,baseball bat,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
crop_yes_rate,Crop YES Rate,0.9,10,baseball bat,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
masked_yes_rate,Masked YES Rate,0.3,10,baseball bat,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
ghost_object_rate,Ghost Object Rate,0.3333333333333333,10,baseball bat,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
context_persistence_index,Context Persistence Index,0.3333333333333333,10,baseball bat,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.3,10,baseball bat,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
guard_abstention_rate,GHOST-Guard Abstention Rate,0.6,10,baseball bat,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,baseball bat,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
original_yes_rate,Original YES Rate,1.0,10,book,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
crop_yes_rate,Crop YES Rate,0.8,10,book,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
masked_yes_rate,Masked YES Rate,0.7,10,book,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
ghost_object_rate,Ghost Object Rate,0.7,10,book,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
context_persistence_index,Context Persistence Index,0.7,10,book,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.3,10,book,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
guard_abstention_rate,GHOST-Guard Abstention Rate,0.7,10,book,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,book,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
original_yes_rate,Original YES Rate,0.9,10,bottle,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
crop_yes_rate,Crop YES Rate,0.9,10,bottle,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
masked_yes_rate,Masked YES Rate,0.8,10,bottle,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
ghost_object_rate,Ghost Object Rate,0.7777777777777778,10,bottle,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
context_persistence_index,Context Persistence Index,0.888888888888889,10,bottle,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.2,10,bottle,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
guard_abstention_rate,GHOST-Guard Abstention Rate,0.7,10,bottle,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,bottle,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
original_yes_rate,Original YES Rate,0.9,10,bowl,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
crop_yes_rate,Crop YES Rate,0.5,10,bowl,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
masked_yes_rate,Masked YES Rate,0.6,10,bowl,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
ghost_object_rate,Ghost Object Rate,0.6666666666666666,10,bowl,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
context_persistence_index,Context Persistence Index,0.6666666666666666,10,bowl,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.3,10,bowl,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
guard_abstention_rate,GHOST-Guard Abstention Rate,0.6,10,bowl,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,bowl,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
original_yes_rate,Original YES Rate,0.8,10,cell phone,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
crop_yes_rate,Crop YES Rate,0.6,10,cell phone,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
masked_yes_rate,Masked YES Rate,0.2,10,cell phone,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
ghost_object_rate,Ghost Object Rate,0.25,10,cell phone,large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b
